,BM Name,BM1 (mA),BM2 (mA),BM3 (mA),T1 (ms),T2 (ms),T3 (ms),Med BM (mA),Med T (s),Power (mW),Energy* (mW/h)
1,nop,439.0,439.7,439.6,123`555,123`556,123`556,439.5,123`556,2`267.820,77.834
2,nop\_nop,431.1,431.5,431.8,154`444,154`445,154`445,431.5,154`445,2`226.540,95.522
3,nop\_nop\_nop,424.3,424.3,424.1,154`447,154`446,154`446,424.2,154`446,2`188.872,93.906
4,add\_0,435.3,435.5,435.5,123`556,123`556,123`556,435.4,123`556,2`246.664,77.108
5,add\_32,438.4,438.6,438.7,108`112,108`112,108`113,438.6,108`112,2`263.176,67.966
6,sadd8\_0,429.3,429.5,429.5,123`556,123`555,123`555,429.4,123`555,2`215.704,76.045
7,sadd8\_8,437.7,437.6,437.6,123`556,123`555,123`555,437.6,123`555,2`258.016,77.497
8,sadd16\_0,434.9,434.7,434.9,123`556,123`556,123`556,434.8,123`556,2`243.568,77.002
9,sadd16\_8,432.2,432.5,432.4,108`112,108`110,108`112,432.4,108`112,2`231.184,67.005
10,sub\_0,435.0,434.0,434.0,123`557,123`555,123`556,434.1,123`556,2`239.956,76.878
11,sub\_32,431.9,431.8,432.2,108`111,108`112,108`112,431.9,108`112,2`228.604,66.927
12,lsr\_0,437.8,438.0,437.7,123`556,123`555,123`555,437.8,123`555,2`259.048,77.532
13,lsr\_32,438.6,438.8,438.7,108`110,108`112,108`112,438.7,108`112,2`263.692,67.981
14,lsl\_0,438.5,438.7,438.8,108`112,108`112,108`112,438.7,108`112,2`263.692,67.981
15,lsl\_32,429.8,429.8,430.3,123`556,123`556,123`555,429.9,123`556,2`218.284,76.134
16,mul\_0,427.9,428.1,428.3,123`558,123`557,123`557,428.1,123`557,2`208.996,75.816
17,mul\_32,434.1,434.1,433.8,123`559,123`559,123`560,434.1,123`559,2`239.956,76.880
18,and\_0,434.8,434.9,435.2,123`556,123`554,123`556,434.9,123`556,2`244.084,77.019
19,and\_32,438.5,438.6,438.5,108`111,108`112,108`111,438.5,108`111,2`262.660,67.950
20,or\_0,438.8,438.7,438.8,123`555,123`554,123`554,438.8,123`554,2`264.208,77.709
21,or\_32,432.5,432.7,432.7,108`112,108`112,108`113,432.7,108`112,2`232.732,67.051
22,xor\_0,429.4,429.4,429.3,123`555,123`555,123`555,429.4,123`555,2`215.704,76.045
23,xor\_32,432.2,432.5,432.6,108`113,108`112,108`110,432.5,108`112,2`231.700,67.020
